Module,statements,missing,excluded,branches,partial,coverage
scipy/__config__.py,42,26,0,18,1,28%
scipy/__init__.py,61,9,0,14,4,83%
scipy/_build_utils/__init__.py,18,8,0,0,0,56%
scipy/_build_utils/_fortran.py,189,167,0,82,0,8%
scipy/_build_utils/compiler_helper.py,77,77,0,35,0,0%
scipy/_build_utils/system_info.py,124,116,0,68,1,5%
scipy/_build_utils/tempita.py,14,14,0,6,0,0%
scipy/_build_utils/tests/__init__.py,0,0,0,0,0,100%
scipy/_build_utils/tests/test_scipy_version.py,10,1,0,2,1,83%
scipy/_distributor_init.py,0,0,0,0,0,100%
scipy/_lib/__init__.py,3,0,0,0,0,100%
scipy/_lib/_boost_utils.py,5,5,0,0,0,0%
scipy/_lib/_bunch.py,72,3,0,30,2,95%
scipy/_lib/_ccallback.py,98,13,0,42,6,85%
scipy/_lib/_disjoint_set.py,65,1,0,24,1,98%
scipy/_lib/_docscrape.py,443,125,0,224,47,65%
scipy/_lib/_gcutils.py,31,1,0,12,1,95%
scipy/_lib/_pep440.py,198,55,0,100,7,70%
scipy/_lib/_testutils.py,121,59,0,56,2,49%
scipy/_lib/_threadsafety.py,32,0,0,10,1,98%
scipy/_lib/_tmpdirs.py,26,0,0,2,0,100%
scipy/_lib/_uarray/__init__.py,2,0,0,0,0,100%
scipy/_lib/_uarray/_backend.py,163,80,0,39,3,48%
scipy/_lib/_unuran_utils.py,5,5,0,0,0,0%
scipy/_lib/_util.py,218,32,0,116,12,84%
scipy/_lib/decorator.py,235,101,0,104,19,54%
scipy/_lib/deprecation.py,45,6,0,14,6,80%
scipy/_lib/doccer.py,96,10,0,40,7,88%
scipy/_lib/tests/__init__.py,0,0,0,0,0,100%
scipy/_lib/tests/test__gcutils.py,67,0,0,42,2,98%
scipy/_lib/tests/test__pep440.py,42,0,0,14,0,100%
scipy/_lib/tests/test__testutils.py,15,3,0,8,2,70%
scipy/_lib/tests/test__threadsafety.py,32,2,0,8,0,95%
scipy/_lib/tests/test__util.py,177,6,0,62,4,96%
scipy/_lib/tests/test_bunch.py,107,0,0,22,0,100%
scipy/_lib/tests/test_ccallback.py,110,5,0,46,3,94%
scipy/_lib/tests/test_deprecation.py,6,0,0,2,0,100%
scipy/_lib/tests/test_import_cycles.py,7,0,0,2,0,100%
scipy/_lib/tests/test_public_api.py,80,10,0,48,9,85%
scipy/_lib/tests/test_tmpdirs.py,30,0,0,12,0,100%
scipy/_lib/tests/test_warnings.py,67,47,0,32,0,24%
scipy/_lib/uarray.py,14,6,0,2,1,56%
scipy/cluster/__init__.py,5,0,0,0,0,100%
scipy/cluster/hierarchy.py,788,117,0,392,80,82%
scipy/cluster/tests/__init__.py,0,0,0,0,0,100%
scipy/cluster/tests/hierarchy_test_data.py,17,0,0,0,0,100%
scipy/cluster/tests/test_disjoint_set.py,149,0,0,56,1,99%
scipy/cluster/tests/test_hierarchy.py,660,3,0,152,0,99%
scipy/cluster/tests/test_vq.py,189,1,0,38,2,99%
scipy/cluster/vq.py,152,15,0,56,10,88%
scipy/conftest.py,55,14,0,16,5,70%
scipy/constants/__init__.py,13,0,0,8,1,95%
scipy/constants/_codata.py,101,7,0,42,3,92%
scipy/constants/_constants.py,144,2,0,16,2,98%
scipy/constants/codata.py,10,5,0,2,0,42%
scipy/constants/constants.py,10,5,0,2,0,42%
scipy/constants/tests/__init__.py,0,0,0,0,0,100%
scipy/constants/tests/test_codata.py,27,0,0,4,0,100%
scipy/constants/tests/test_constants.py,19,0,0,0,0,100%
scipy/fft/__init__.py,11,0,0,0,0,100%
scipy/fft/_backend.py,33,8,0,8,2,76%
scipy/fft/_basic.py,64,23,0,2,0,62%
scipy/fft/_debug_backends.py,13,13,0,4,0,0%
scipy/fft/_fftlog.py,76,0,0,16,0,100%
scipy/fft/_helper.py,8,1,0,0,0,88%
scipy/fft/_pocketfft/__init__.py,6,0,0,0,0,100%
scipy/fft/_pocketfft/basic.py,156,0,0,58,0,100%
scipy/fft/_pocketfft/helper.py,107,0,0,58,0,100%
scipy/fft/_pocketfft/realtransforms.py,64,2,0,22,2,95%
scipy/fft/_pocketfft/tests/__init__.py,0,0,0,0,0,100%
scipy/fft/_pocketfft/tests/test_basic.py,669,18,0,147,2,98%
scipy/fft/_pocketfft/tests/test_real_transforms.py,308,9,0,74,11,94%
scipy/fft/_realtransforms.py,28,8,0,0,0,71%
scipy/fft/tests/mock_backend.py,40,0,0,2,0,100%
scipy/fft/tests/test_backend.py,35,0,0,6,0,100%
scipy/fft/tests/test_fft_function.py,11,0,0,0,0,100%
scipy/fft/tests/test_fftlog.py,79,0,0,10,0,100%
scipy/fft/tests/test_helper.py,174,1,0,42,1,99%
scipy/fft/tests/test_multithreading.py,49,2,0,24,2,95%
scipy/fft/tests/test_numpy.py,242,1,0,66,1,99%
scipy/fft/tests/test_real_transforms.py,134,0,0,16,0,100%
scipy/fftpack/__init__.py,9,0,0,0,0,100%
scipy/fftpack/_basic.py,21,1,0,0,0,95%
scipy/fftpack/_helper.py,18,2,0,6,1,88%
scipy/fftpack/_pseudo_diffs.py,211,22,0,106,13,86%
scipy/fftpack/_realtransforms.py,28,0,0,0,0,100%
scipy/fftpack/basic.py,10,5,0,2,0,42%
scipy/fftpack/helper.py,10,5,0,2,0,42%
scipy/fftpack/pseudo_diffs.py,10,5,0,2,0,42%
scipy/fftpack/realtransforms.py,10,5,0,2,0,42%
scipy/fftpack/tests/__init__.py,0,0,0,0,0,100%
scipy/fftpack/tests/gen_fftw_ref.py,52,52,0,36,0,0%
scipy/fftpack/tests/gendata.py,4,4,0,0,0,0%
scipy/fftpack/tests/test_basic.py,572,19,0,125,2,97%
scipy/fftpack/tests/test_helper.py,34,0,0,8,0,100%
scipy/fftpack/tests/test_import.py,14,0,0,10,0,100%
scipy/fftpack/tests/test_pseudo_diffs.py,290,5,0,106,7,97%
scipy/fftpack/tests/test_real_transforms.py,576,17,0,230,8,97%
scipy/integrate/__init__.py,12,0,0,2,0,100%
scipy/integrate/_bvp.py,378,16,0,128,11,93%
scipy/integrate/_ivp/__init__.py,7,0,0,0,0,100%
scipy/integrate/_ivp/base.py,98,6,0,34,3,93%
scipy/integrate/_ivp/bdf.py,244,6,0,70,6,96%
scipy/integrate/_ivp/common.py,213,9,0,64,6,94%
scipy/integrate/_ivp/dop853_coefficients.py,152,0,0,0,0,100%
scipy/integrate/_ivp/ivp.py,162,5,0,98,5,96%
scipy/integrate/_ivp/lsoda.py,57,2,0,18,3,93%
scipy/integrate/_ivp/radau.py,261,6,0,76,6,96%
scipy/integrate/_ivp/rk.py,191,1,0,46,1,99%
scipy/integrate/_ivp/tests/test_ivp.py,667,10,0,68,0,99%
scipy/integrate/_ivp/tests/test_rk.py,27,0,0,4,0,100%
scipy/integrate/_ode.py,509,51,0,174,29,88%
scipy/integrate/_odepack_py.py,31,4,0,16,2,87%
scipy/integrate/_quad_vec.py,264,15,0,110,7,93%
scipy/integrate/_quadpack_py.py,198,51,0,114,12,70%
scipy/integrate/_quadrature.py,326,55,0,112,21,79%
scipy/integrate/dop.py,10,5,0,2,0,42%
scipy/integrate/lsoda.py,10,5,0,2,0,42%
scipy/integrate/odepack.py,10,5,0,2,0,42%
scipy/integrate/quadpack.py,10,5,0,2,0,42%
scipy/integrate/tests/__init__.py,0,0,0,0,0,100%
scipy/integrate/tests/test__quad_vec.py,127,0,0,28,0,100%
scipy/integrate/tests/test_banded_ode_solvers.py,102,3,0,36,1,96%
scipy/integrate/tests/test_bvp.py,447,0,0,44,0,100%
scipy/integrate/tests/test_integrate.py,504,2,0,138,3,99%
scipy/integrate/tests/test_odeint_jac.py,49,1,0,4,1,96%
