File,No of assertions
C:\Users\sindh\College\scipy\test_functions.py,0
C:\Users\sindh\College\scipy\test_go_benchmark_functions.py,0
C:\Users\sindh\College\scipy\test_docscrape.py,4
C:\Users\sindh\College\scipy\test_full.py,0
C:\Users\sindh\College\scipy\test_main.py,0
C:\Users\sindh\College\scipy\test_numpydoc.py,0
C:\Users\sindh\College\scipy\test_validate.py,0
C:\Users\sindh\College\scipy\test_xref.py,0
C:\Users\sindh\College\scipy\test_disjoint_set.py,3
C:\Users\sindh\College\scipy\test_hierarchy.py,144
C:\Users\sindh\College\scipy\test_vq.py,32
C:\Users\sindh\College\scipy\test_codata.py,10
C:\Users\sindh\College\scipy\test_constants.py,14
C:\Users\sindh\College\scipy\test_backend.py,7
C:\Users\sindh\College\scipy\test_fftlog.py,6
C:\Users\sindh\College\scipy\test_fft_function.py,2
C:\Users\sindh\College\scipy\test_helper.py,36
C:\Users\sindh\College\scipy\test_multithreading.py,2
C:\Users\sindh\College\scipy\test_numpy.py,69
C:\Users\sindh\College\scipy\test_real_transforms.py,18
C:\Users\sindh\College\scipy\test_basic.py,144
C:\Users\sindh\College\scipy\test_real_transforms.py,32
C:\Users\sindh\College\scipy\test_basic.py,128
C:\Users\sindh\College\scipy\test_helper.py,13
C:\Users\sindh\College\scipy\test_import.py,1
C:\Users\sindh\College\scipy\test_pseudo_diffs.py,79
C:\Users\sindh\College\scipy\test_real_transforms.py,37
C:\Users\sindh\College\scipy\test_banded_ode_solvers.py,4
C:\Users\sindh\College\scipy\test_bvp.py,95
C:\Users\sindh\College\scipy\test_integrate.py,58
C:\Users\sindh\College\scipy\test_odeint_jac.py,2
C:\Users\sindh\College\scipy\test_quadpack.py,39
C:\Users\sindh\College\scipy\test_quadrature.py,46
C:\Users\sindh\College\scipy\test__quad_vec.py,18
C:\Users\sindh\College\scipy\test_ivp.py,248
C:\Users\sindh\College\scipy\test_rk.py,5
C:\Users\sindh\College\scipy\test_bsplines.py,218
C:\Users\sindh\College\scipy\test_fitpack.py,37
C:\Users\sindh\College\scipy\test_fitpack2.py,162
C:\Users\sindh\College\scipy\test_gil.py,1
C:\Users\sindh\College\scipy\test_interpnd.py,19
C:\Users\sindh\College\scipy\test_interpolate.py,437
C:\Users\sindh\College\scipy\test_ndgriddata.py,24
C:\Users\sindh\College\scipy\test_pade.py,34
C:\Users\sindh\College\scipy\test_polyint.py,107
C:\Users\sindh\College\scipy\test_rbf.py,15
C:\Users\sindh\College\scipy\test_rbfinterp.py,15
C:\Users\sindh\College\scipy\test_regression.py,1
C:\Users\sindh\College\scipy\test_arffread.py,68
C:\Users\sindh\College\scipy\test_byteordercodes.py,10
C:\Users\sindh\College\scipy\test_mio.py,153
C:\Users\sindh\College\scipy\test_mio5_utils.py,14
C:\Users\sindh\College\scipy\test_miobase.py,14
C:\Users\sindh\College\scipy\test_mio_funcs.py,0
