Test File Path,Test File,Date Added,Modification Count,Number of People Involved
Lib\tests\test_misc.py,test_misc.py,2001-03-21 04:18:37+00:00,23,23
Lib\tests\test_limits.py,test_limits.py,2001-06-09 05:11:49+00:00,9,9
Lib\linalg\tests\test_fblas.py,test_fblas.py,2001-06-12 09:53:15+00:00,31,31
Lib\special\tests\test_cephes.py,test_cephes.py,2001-06-20 05:29:41+00:00,5,5
Lib\stats\tests\test_new_stats.py,test_new_stats.py,2001-07-17 21:04:48+00:00,6,6
Lib\gui_thread\tests\test_gui_thread.py,test_gui_thread.py,2001-10-14 21:58:59+00:00,10,10
Lib\tests\test_basic.py,test_basic.py,2001-11-17 09:26:16+00:00,19,19
Lib\tests\test_handy.py,test_handy.py,2001-11-28 01:04:56+00:00,12,12
Lib\tests\test_basic1a.py,test_basic1a.py,2001-11-28 07:05:03+00:00,14,14
Lib\stats\tests\test_stats.py,test_stats.py,2002-01-20 11:19:15+00:00,46,46
Lib\tests\test_function_base.py,test_function_base.py,2002-04-03 13:56:25+00:00,1,1
Lib\tests\test_index_tricks.py,test_index_tricks.py,2002-04-03 13:56:25+00:00,1,1
Lib\tests\test_matrix_base.py,test_matrix_base.py,2002-04-03 13:56:25+00:00,1,1
Lib\tests\test_shape_base.py,test_shape_base.py,2002-04-03 13:56:25+00:00,1,1
Lib\tests\test_type_check.py,test_type_check.py,2002-04-03 13:56:25+00:00,2,2
Lib\linalg\tests\test_basic.py,test_basic.py,2002-04-07 15:03:50+00:00,35,35
Lib\linalg\tests\test_blas.py,test_blas.py,2002-04-07 15:03:50+00:00,17,17
Lib\linalg\tests\test_decomp.py,test_decomp.py,2002-04-07 15:03:50+00:00,35,35
Lib\tests\test_common.py,test_common.py,2002-04-10 03:50:29+00:00,12,12
Lib\optimize\tests\test_zeros.py,test_zeros.py,2002-04-15 02:55:19+00:00,13,13
Lib\stats\tests\test_distributions.py,test_distributions.py,2002-04-17 16:43:23+00:00,26,26
Lib\stats\tests\test_morestats.py,test_morestats.py,2002-08-09 16:30:53+00:00,23,23
Lib\linalg\tests\test_lapack.py,test_lapack.py,2002-09-20 22:30:22+00:00,14,14
Lib\fftpack\tests\test_basic.py,test_basic.py,2002-11-15 14:01:22+00:00,16,16
Lib\fftpack\tests\test_helper.py,test_helper.py,2002-11-15 14:01:22+00:00,6,6
Lib\fftpack\tests\test_pseudo_diffs.py,test_pseudo_diffs.py,2002-11-15 14:01:22+00:00,8,8
Lib\special\tests\test_special.py,test_special.py,2002-12-17 17:52:29+00:00,4,4
Lib\io\tests\test_array_import.py,test_array_import.py,2003-01-31 18:43:02+00:00,14,14
Lib\signal\tests\test_signaltools.py,test_signaltools.py,2003-02-05 07:33:20+00:00,13,13
Lib\special\tests\test_basic.py,test_basic.py,2003-03-10 16:46:26+00:00,48,48
Lib\interpolate\tests\test_fitpack.py,test_fitpack.py,2003-06-12 14:55:00+00:00,9,9
Lib\linalg\tests\test_matfuncs.py,test_matfuncs.py,2003-09-24 14:11:11+00:00,14,14
Lib\xxx\tests\test_foo.py,test_foo.py,2003-10-22 16:08:09+00:00,1,1
Lib\xxx\yyy\tests\test_yyy.py,test_yyy.py,2003-10-22 16:08:09+00:00,1,1
Lib\linalg\tests\test_atlas_version.py,test_atlas_version.py,2003-10-23 20:59:47+00:00,4,4
Lib\optimize\tests\test_cobyla.py,test_cobyla.py,2004-04-19 21:30:04+00:00,9,9
Lib\sparse\tests\test_Sparse.py,test_Sparse.py,2004-04-30 10:30:25+00:00,7,7
Lib\io\tests\test_mmio.py,test_mmio.py,2004-10-05 13:54:19+00:00,10,10
Lib\lib\lapack\tests\test_lapack.py,test_lapack.py,2004-11-19 13:43:14+00:00,11,11
Lib\lib\blas\tests\test_blas.py,test_blas.py,2004-11-26 13:35:43+00:00,10,10
Lib\lib\blas\tests\test_fblas.py,test_fblas.py,2004-11-26 13:35:43+00:00,10,10
Lib\sandbox\exmplpackage\tests\test_foo.py,test_foo.py,2005-10-05 09:14:46+00:00,3,3
Lib\sandbox\exmplpackage\yyy\tests\test_yyy.py,test_yyy.py,2005-10-05 09:14:46+00:00,4,4
Lib\sandbox\newsparse\examples\poisson_test_eig.py,poisson_test_eig.py,2005-10-23 17:06:39+00:00,2,2
Lib\sandbox\newsparse\tests\test_sparray.py,test_sparray.py,2005-10-23 17:06:39+00:00,1,1
Lib\sandbox\newsparse\tests\test_spmatrix.py,test_spmatrix.py,2005-10-23 17:06:39+00:00,2,2
Lib\sandbox\newsparse\tests\test_superlu.py,test_superlu.py,2005-10-23 17:06:39+00:00,2,2
Lib\sparse\tests\test_sparse.py,test_sparse.py,2005-10-24 15:19:05+00:00,42,42
Lib\sandbox\pysparse\examples\poisson_test_eig.py,poisson_test_eig.py,2005-10-25 12:46:35+00:00,1,1
Lib\sandbox\pysparse\tests\test_sparray.py,test_sparray.py,2005-10-25 12:46:35+00:00,2,2
Lib\sandbox\pysparse\tests\test_spmatrix.py,test_spmatrix.py,2005-10-25 12:46:35+00:00,4,4
Lib\sandbox\pysparse\tests\test_superlu.py,test_superlu.py,2005-10-25 12:46:35+00:00,3,3
Lib\sandbox\arraysetops\tests\test_arraysetops.py,test_arraysetops.py,2005-11-03 12:12:04+00:00,3,3
Lib\sandbox\delaunay\tests\test_triangulate.py,test_triangulate.py,2005-11-06 08:00:56+00:00,3,3
Lib\optimize\tests\test_optimize.py,test_optimize.py,2005-11-08 17:25:53+00:00,14,14
Lib\integrate\tests\test_integrate.py,test_integrate.py,2005-11-16 23:01:18+00:00,7,7
Lib\integrate\tests\test_quadpack.py,test_quadpack.py,2005-11-29 22:52:21+00:00,4,4
Lib\sandbox\maxent\tests\test_maxent.py,test_maxent.py,2005-11-30 16:21:37+00:00,4,4
Lib\sandbox\umfpack\test_umfpack.py,test_umfpack.py,2005-12-06 13:14:31+00:00,4,4
Lib\sandbox\montecarlo\tests\test_intsampler.py,test_intsampler.py,2005-12-28 21:26:29+00:00,7,7
Lib\weave\tests\test_ast_tools.py,test_ast_tools.py,2006-01-02 08:28:51+00:00,4,4
Lib\weave\tests\test_blitz_tools.py,test_blitz_tools.py,2006-01-02 08:28:51+00:00,7,7
Lib\weave\tests\test_build_tools.py,test_build_tools.py,2006-01-02 08:28:51+00:00,4,4
Lib\weave\tests\test_c_spec.py,test_c_spec.py,2006-01-02 08:28:51+00:00,4,4
Lib\weave\tests\test_catalog.py,test_catalog.py,2006-01-02 08:28:51+00:00,4,4
Lib\weave\tests\test_ext_tools.py,test_ext_tools.py,2006-01-02 08:28:51+00:00,4,4
Lib\weave\tests\test_inline_tools.py,test_inline_tools.py,2006-01-02 08:28:51+00:00,4,4
Lib\weave\tests\test_scxx.py,test_scxx.py,2006-01-02 08:28:51+00:00,4,4
Lib\weave\tests\test_scxx_dict.py,test_scxx_dict.py,2006-01-02 08:28:51+00:00,4,4
Lib\weave\tests\test_scxx_object.py,test_scxx_object.py,2006-01-02 08:28:51+00:00,5,5
Lib\weave\tests\test_scxx_sequence.py,test_scxx_sequence.py,2006-01-02 08:28:51+00:00,5,5
Lib\weave\tests\test_size_check.py,test_size_check.py,2006-01-02 08:28:51+00:00,8,8
Lib\weave\tests\test_slice_handler.py,test_slice_handler.py,2006-01-02 08:28:51+00:00,4,4
Lib\weave\tests\test_standard_array_spec.py,test_standard_array_spec.py,2006-01-02 08:28:51+00:00,4,4
Lib\weave\tests\test_wx_spec.py,test_wx_spec.py,2006-01-02 08:28:51+00:00,4,4
Lib\weave\tests\weave_test_utils.py,weave_test_utils.py,2006-01-02 08:28:51+00:00,3,3
Lib\maxent\tests\test_maxent.py,test_maxent.py,2006-01-15 17:42:54+00:00,1,1
Lib\montecarlo\tests\test_intsampler.py,test_intsampler.py,2006-01-15 17:43:58+00:00,1,1
Lib\sandbox\montecarlo\tests\test_dictsampler.py,test_dictsampler.py,2006-01-18 08:01:34+00:00,5,5
Lib\maxentropy\tests\test_maxentropy.py,test_maxentropy.py,2006-01-21 21:21:39+00:00,4,4
Lib\sandbox\numexpr\tests\test_numexpr.py,test_numexpr.py,2006-03-02 21:26:44+00:00,27,27
Lib\ndimage\tests\test_ndimage.py,test_ndimage.py,2006-03-18 14:43:08+00:00,10,10
Lib\sandbox\fdfpack\tests\test_fdf.py,test_fdf.py,2006-03-20 17:31:48+00:00,1,1
Lib\linsolve\umfpack\test_umfpack.py,test_umfpack.py,2006-03-29 13:03:36+00:00,1,1
Lib\linsolve\umfpack\tests\test_umfpack.py,test_umfpack.py,2006-03-29 13:03:36+00:00,11,11
Lib\linsolve\umfpack\tests\test_umfpack2.py,test_umfpack2.py,2006-04-02 18:27:32+00:00,1,1
Lib\sandbox\models\lib\models\tests\test_formula.py,test_formula.py,2006-04-20 21:56:18+00:00,2,2
Lib\sandbox\models\lib\models\tests\test_glm.py,test_glm.py,2006-04-20 21:56:18+00:00,3,3
